编号,标志,名称,文本,跳转,结束
0,W,sensei,哈哈哈~为师的金库终于快要建成了！,1,FINAL
1,W,sensei,我要把我这辈子攒下的青辉石全部存在里面！,2,FIANL
2,W,sensei,这种感觉太美妙了~,3,FIANL
3,T,,（哐当——）,4,FIANL
4,T,,有谁进来了欸。,5,FIANL
5,W,白子,老师。,6,FIANL
6,W,白子,有个好消息告诉您，我发现了一处窝藏有大量青辉石的地方！,7,FIANL
7,W,sensei,什么？还有这种好事？,8,FIANL
8,W,sensei,不愧是白子，什么时候都能想起为师来。,9,FIANL
9,W,白子,我现在就去取回来，当作礼物送给老师您。,10,FIANL
10,W,sensei,白……白子……,11,FIANL
11,W,白子,这次的行动我已经筹备很久了，周围武装单位的行动时间我已经调查的一清二楚了！,12,FIANL
12,W,白子,老师你就等我的好消息吧。,13,FIANL
13,T,,（哐当——）,14,FIANL
14,T,,冲出去了呢。,15,FIANL
15,W,sensei,……,16,FIANL
16,O,,慢着，她刚刚是不是带上了头套？,18,FIANL
17,O,,为师好感动啊……,20,FIANL
18,W,sensei,不对！那个方向是……,19,FIANL
19,W,sensei,为师的金库！补药啊~,21,FIANL
20,W,sensei,有这样的学生，为师太欣慰了~,21,FIANL
21,END,,,,FIANL
