编号,标志,名称,文本,跳转,结束
0,W,sensei,优香！你管我零花钱的日子到头了！,1,FINAL
1,W,优香,欸？,2,FIANL
2,W,优香,老师，你是被谁给忽悠了吗？,3,FIANL
3,W,优香,怎么突然这样说？,4,FIANL
4,W,sensei,哼哼哼~,5,FIANL
5,W,sensei,实话告诉你吧，为师靠自己的双手实现了财富自由~,6,FIANL
6,W,优香,什么！？老师只凭自己就能实现财富自由？,7,FIANL
7,W,优香,果然是被骗了吧……,8,FIANL
8,W,sensei,你太天真了，为师这么聪明怎么会被骗呢。,9,FIANL
9,W,sensei,实话告诉你吧，有个自称蒙面泳装团团长的大人物急需一笔资金来让他恢复元气。,10,FIANL
10,W,sensei,关键的是她答应我事成之后重金答谢。,11,FIANL
11,W,sensei,优香亲，现在知道我的手段了吧~,12,FIANL
12,W,优香,呃，虽然我不想打击老师，但这种来历不明的组织听起来就不像是正经的吧！,13,FIANL
13,W,优香,还是老老实实通过我的账目管理来积累财富吧！,14,FIANL
14,O,,不行，我偏要试试！,16,FIANL
15,O,,仔细想想，确实有点蹊跷。,17,FIANL
16,W,sensei,不行，我偏要试试！我已经把这个月的零花钱统统投资了，你就等着我的好消息吧！,24,FIANL
17,W,sensei,好吧，你说得对，为师还是老老实实呆在家打游戏吧……,18,FIANL
18,T,,叮咚~,19,FIANL
19,W,sensei,哦！快递到啦！,20,FIANL
20,T,,在优香面前拆开了包装盒。,21,FIANL
21,W,sensei,嗯——最新的miku酱手办，这触感~,22,FIANL
22,W,优香,老师——你又乱花钱！,23,FIANL
23,T,,布豪，快逃！,25,FIANL
24,W,优香,哎，老师你已经没救了……,18,FIANL
25,END,,,,FIANL
